1 twitter 6647 145 62522774 5546
2 katyperry 8942 204 108863769 6086
3 justinbieber 30619 316000 105624271 3445
4 taylorswift13 88 -1 -1 -1
5 rihanna 10074 1121 86572760 1024
6 ladygaga 8705 127844 77591181 1885
7 jtimberlake 3873 262 65442111 90
8 TheEllenShow 16312 35903 77191541 859
9 britneyspears 5413 387793 57212283 2561
10 Cristiano 3136 95 70783131 -1
11 KimKardashian 26192 134 59200772 13
12 katyperry 8942 204 108863784 6086
13 justinbieber 30619 316000 105624279 3445
14 taylorswift13 88 -1 -1 -1
15 rihanna 10074 1121 86572772 1024
16 ladygaga 8705 127844 77591184 1885
17 jtimberlake 3873 262 65442111 90
18 TheEllenShow 16312 35903 77191547 859
19 britneyspears 5413 387793 57212297 2561
20 Cristiano 3136 95 70783159 -1
21 KimKardashian 26192 134 59200780 13
22 shakira 5323 208 51375585 1239
23 selenagomez 4339 1251 56149824 167
24 JLo 12418 1723 45081754 6598
25 ArianaGrande 40409 64596 56883618 32491
26 ddlovato 16775 545 55513166 2017
27 jimmyfallon 10529 7819 50685034 78
28 Oprah 12412 290 42043865 150
29 Pink 6867 448 32834931 428
30 Drake 1703 633 36870115 11
31 Harry_Styles 5413 2040 31887032 80
32 onedirection 9896 3883 31794533 298
33 BillGates 2616 183 44819539 40
34 KingJames 5778 182 40998464 115
35 LilTunechi 1830 48 33780528 13
36 BrunoMars 4234 108 41653689 243
37 KAKA 4932 355 30137439 96
38 Adele 302 -1 -1 -1
39 NiallOfficial 12530 5975 39385040 396
40 MileyCyrus 9364 393 40023147 280
41 aliciakeys 7439 692 30746076 277
42 KevinHart4real 35972 554 35107499 85
43 wizkhalifa 43841 832 33284697 54
44 pitbull 7530 2671 27091059 1093
45 Real_Liam_Payne -1 -1 -1 -1
46 Louis_Tomlinson 6427 3821 33077277 210
47 NICKIMINAJ 39557 4857 21244603 64583
48 neymarjr 41161 746 38639157 809
49 Eminem 744 -1 -1 -1
50 EmWatson -1 -1 -1 -1
51 AvrilLavigne 3546 156 22028116 47
